Concept,Prompt Type,Coefficient,Optimal Layer,Optimal Score
Model,1,2,2,0.7450692102313041
Model,2,2,13,0.9732006698846817
Monarch,1,2,0,0.835940158
Monarch,2,2,20,0.9782486736774445
Moss,1,2,1,0.7059746831655502
Moss,2,2,16,0.916307059
Mountain,1,2,0,0.7970331877470016
Mountain,2,2,12,0.9757114946842194
Museum,1,2,1,0.7551147475838661
Museum,2,2,0,0.9750270038843155
Music Festival,1,2,3,0.8774397552013398
Music Festival,2,2,4,0.9711059421300888
Music Genre,1,2,1,0.9110975503921509
Music Genre,2,2,15,0.9709408491849899
Musical,1,2,5,0.8572759479284286
Musical,2,2,0,0.9776775687932968
Mythological Figure,1,2,3,0.8537339091300964
Mythological Figure,2,2,15,0.9050463527441025
NASCAR Driver,1,2,0,0.8692716479301452
NASCAR Driver,2,2,13,0.8935766309499741
Netball,1,2,1,0.664227033
Netball,2,2,17,0.9655534654855729
Newspaper,1,2,0,0.740569893
Newspaper,2,2,22,0.9807988107204437
Noble,1,2,1,0.7872667968273163
Noble,2,2,4,0.8927980124950409
Olympic Event,1,2,3,0.8690313667058944
Olympic Event,2,2,0,0.7764162644743919
Painter,1,2,2,0.8459102600812912
Painter,2,2,14,0.972561777
Philosopher,1,2,2,0.864591971
Philosopher,2,2,0,0.9358108431100846
Photographer,1,2,1,0.7953659191727638
Photographer,2,2,11,0.9770754039287567
Planet,1,2,1,0.6904914140701294
Planet,2,2,3,0.9706093072891235
Play,1,2,3,0.903686523
Play,2,2,16,0.9615086138248443
Playboy Playmate,1,2,2,0.8655202612280846
Playboy Playmate,2,2,0,0.721548505
Poem,1,2,2,0.8275965064764023
Poem,2,2,5,0.9701197266578674
Poet,1,2,0,0.8701832622289658
Poet,2,2,3,0.9602661341428756
Pope,1,2,3,0.8895174324512481
Pope,2,2,20,0.964845073
President,1,2,1,0.8967306286096572
President,2,2,6,0.9784525543451309
Prime Minister,1,2,1,0.8444024503231049
Prime Minister,2,2,16,0.9675489157438278
Prison,1,2,2,0.949105418
Prison,2,2,0,0.9813117951154708
Publisher,1,2,2,0.8202460169792175
Publisher,2,2,11,0.9280555784702301
Racecourse,1,2,2,0.848817766
Racecourse,2,2,1,0.909014106
Radio Host,1,2,1,0.7182126447558403
Radio Host,2,2,14,0.9087961107492447
Radio Station,1,2,2,0.82111588
Radio Station,2,2,20,0.9722234517335892
Railway,1,2,1,0.9464887320995331
Railway,2,2,18,0.9807327389717102
Religious,1,2,2,0.9198384940624237
Religious,2,2,20,0.9709874004125595
Reptile,1,2,0,0.8444467261433601
Reptile,2,2,0,0.9770944237709045
Restaurant,1,2,3,0.9242063999176026
Restaurant,2,2,20,0.9823168307542801
River,1,2,30,0.6745164275169373
River,2,2,14,0.9756002604961396
Road,1,2,2,0.7272305995225906
Road,2,2,0,0.9611872583627701
Roller Coaster,1,2,2,0.976197162
Roller Coaster,2,2,0,0.8265849068760872
Rowing,1,2,1,0.7325961299240589
Rowing,2,2,17,0.9316833391785622
Saint,1,2,1,0.7162151753902435
Saint,2,2,0,0.9409675240516663
School,1,2,3,0.8805700749158859
School,2,2,16,0.9729532241821289
Screenwriter,1,2,6,0.8603374481201171
Screenwriter,2,2,6,0.9850753515958786
Senator,1,2,3,0.8116162240505218
Senator,2,2,20,0.9475677877664566
Shopping Mall,1,2,0,0.8544656544923782
Shopping Mall,2,2,13,0.945530105
Single,1,2,2,0.7609002098441124
Single,2,2,3,0.9310148164629937
Skating,1,2,3,0.8837020933628082
Skating,2,2,15,0.9822124302387237
Skiing,1,2,1,0.9418102592229843
Skiing,2,2,13,0.9769238948822021
Soap Character,1,2,2,0.8640095442533493
Soap Character,2,2,19,0.9054711475968361
Soccer,1,2,3,0.9107933849096298
Soccer,2,2,4,0.9699120342731475
Soccer Manager,1,2,1,0.8612298280000686
Soccer Manager,2,2,11,0.8514009296894074
Solar Eclipse,1,2,3,0.8489787131547928
Solar Eclipse,2,2,1,0.8552009254693985
Sports Team Member,1,2,2,0.6996287703514099
Sports Team Member,2,2,3,0.9546241074800491
Stadium,1,2,2,0.9232572972774505
Stadium,2,2,13,0.9794824570417404
Sumo,1,2,2,0.6643916606903076
Sumo,2,2,13,0.9680149227380752
Swimming,1,2,2,0.9281536266207695
Swimming,2,2,21,0.978868505
Table Tennis,1,2,1,0.896901298
Table Tennis,2,2,16,0.9697369992733001
Television Station,1,2,2,0.8526920676231384
Television Station,2,2,4,0.9509438186883926
Tennis,1,2,1,0.9540423423051834
Tennis,2,2,20,0.9736268669366837
Theatre,1,2,1,0.8754975497722626
Theatre,2,2,16,0.8933919981122017
Town,1,2,3,0.7926792323589325
Town,2,2,0,0.9745128571987152
University,1,2,2,0.7904495656490326
University,2,2,13,0.9593859583139419
